StudentID,LateSubmissions,SkippedQuestions,HelpRequests,AttendanceRate,AvgResponseTime
1,1,0,2,59.07447041119022,129.60206004352477
2,1,3,4,79.9053716011832,103.06942538534625
3,1,3,5,46.083182616995686,11.896707588941211
4,4,0,8,87.95072105589031,17.861849120677867
5,3,1,5,66.0557836689998,43.394556266635064
6,1,1,3,75.44768403997072,165.59884935306994
7,2,0,5,78.32132429413308,75.94940899468308
8,0,0,4,83.47956084176448,26.839335103798508
9,1,2,6,75.153798261419,370.2606613406026
10,2,4,2,77.84456437953865,300.7804719100148
11,2,2,7,72.56999685823675,111.90903154140642
12,2,2,9,60.43922296330918,39.740097564770124
13,7,1,3,74.7048315296213,50.17805488726475
14,3,2,2,81.00307406737916,60.18204123024666
15,3,2,5,47.18322462492942,10.0
16,5,2,6,77.73887323523736,24.16787421848633
17,1,1,4,84.53175243526236,129.15717300694496
18,5,0,7,62.97069375578791,31.05209316824784
19,1,2,3,67.52046766250737,23.50555607047689
20,3,3,4,66.72500505431528,10.0
21,2,3,8,70.53681716578748,10.27453060036166
22,1,0,4,67.1175409476217,65.99642634412412
23,2,0,4,73.67191374211407,120.13329696066583
24,3,1,7,61.17452267718716,343.25751546066965
25,4,1,8,75.7899924750088,165.0230726322528
26,2,2,5,92.46259416223634,147.17785053453747
27,2,3,3,87.84852928432773,141.61496213269967
28,3,1,5,59.50624640455426,83.55547741007923
29,1,0,5,56.14739698482582,57.10536655688086
30,2,2,5,69.01005237395955,184.39227329147587
31,2,2,3,85.40770624317761,74.82066019873231
32,2,1,2,93.47944709244587,93.68299986675152
33,0,0,0,80.79860608045848,12.453216709707673
34,0,0,4,85.90629430045074,10.0
35,3,0,10,63.74348043688938,14.347436649609765
36,2,0,5,61.599381207580485,365.16617859311924
37,2,2,7,48.198418329186765,213.9591660825034
38,1,1,3,56.555244068826994,33.12832392456063
39,1,2,3,73.58513470967517,25.924767525271672
40,1,0,2,70.70712964163997,84.25624844953263
41,0,2,4,71.75042974853942,88.96550173259367
42,1,3,4,71.80274818610066,39.07447193311959
43,1,2,4,65.70241946730306,150.70873031464845
44,0,3,2,41.73111751189148,46.0262842281799
45,1,1,3,59.78643325887077,10.0
46,1,0,7,85.06552039093516,130.13007456051972
47,3,1,7,64.78237619770347,71.28150320355375
48,2,2,3,64.05691782101073,64.99890159529426
49,2,1,5,74.65449404179836,14.160158161834532
50,2,3,2,75.94147958142409,42.38192096776731
51,2,0,5,74.54181597321777,28.47530083760467
52,1,3,9,27.981899570244558,61.073787641171734
53,1,1,1,74.01519864183038,133.66520674385842
54,4,2,5,88.80275209070064,225.22961087167505
55,4,1,3,89.34558417000925,10.0
56,2,1,3,69.94939240068575,238.8405293873675
57,2,4,7,61.308409271018924,10.0
58,4,2,6,74.5471845484878,57.75818689362165
59,1,3,7,73.32966621639633,10.0
60,3,1,7,62.39281967936494,114.7976703908996
61,1,2,2,58.788932856485964,78.5518143830264
62,3,0,5,74.7443417630486,77.4543199694678
63,2,1,2,64.30342437088507,368.44994774196005
64,2,0,4,55.82497773143168,49.364382550784555
65,3,1,5,64.44508045500417,38.342926118457754
66,3,0,9,80.86056432969063,118.22303625936662
67,2,1,4,92.81335062934234,597.3286870014447
68,1,0,9,64.80816742015654,100.16485006697268
69,0,0,5,77.34893531199083,369.7152445526613
70,1,0,2,59.283590350532535,366.7859893130387
71,1,2,8,74.321941699806,600.0
72,3,1,1,73.7253922735519,95.31405226069795
73,2,1,9,66.38425478945304,15.695375903279148
74,2,0,3,64.66961722835035,268.92955197047644
75,1,1,3,52.080980895180275,318.51304888624617
76,1,4,8,75.14273483983759,154.6367466186698
77,1,1,3,76.89910243777408,34.224304734262525
78,3,0,3,84.61927573259538,143.71154667772635
