StudentID,TotalLogins,ForumPosts,AssignmentViews,QuizAttempts,ResourceAccessCount,NAssessments
1,35,7,18,5,31,16
2,37,5,14,9,24,16
3,57,7,20,4,24,16
4,45,4,14,5,14,16
5,39,15,21,4,32,16
6,38,9,24,4,21,16
7,39,8,20,7,32,16
8,35,4,15,9,19,16
9,37,7,23,5,23,16
10,45,11,24,10,17,16
11,46,9,17,4,26,16
12,23,6,23,5,20,16
13,38,5,22,9,17,16
14,46,2,13,7,22,16
15,44,11,16,5,20,16
16,41,5,24,11,21,16
17,51,6,24,7,29,16
18,39,7,16,7,22,16
19,37,9,23,7,26,16
20,39,9,26,3,21,16
21,40,10,16,4,27,16
22,38,7,15,8,24,16
23,39,6,18,5,18,16
24,39,9,19,8,33,16
25,40,6,19,6,32,16
26,34,7,14,6,28,16
27,41,15,19,2,19,16
28,34,4,22,7,32,16
29,33,11,15,7,21,16
30,30,5,17,8,30,16
31,39,8,13,5,26,16
32,46,11,21,5,27,16
33,33,8,19,8,29,16
34,34,9,17,3,21,16
35,46,8,14,9,23,16
36,31,8,12,4,24,16
37,44,7,24,7,22,16
38,46,4,12,4,24,16
39,39,8,17,11,24,16
40,31,6,16,4,31,16
41,39,4,16,7,10,16
42,43,9,16,8,38,16
43,39,15,21,9,18,16
44,44,3,14,8,23,16
45,44,4,23,11,22,16
46,45,3,23,2,29,16
47,33,7,20,4,21,16
48,43,4,13,2,30,16
49,35,10,24,5,25,16
50,50,7,22,8,29,16
51,46,5,15,6,20,16
52,34,18,15,6,20,16
53,53,9,12,5,25,16
54,35,8,20,6,27,16
55,40,9,15,5,18,16
56,41,7,23,5,24,16
57,35,5,19,7,16,16
58,27,14,12,6,22,16
59,38,6,15,5,27,16
60,41,6,17,4,32,16
61,49,7,12,7,18,16
62,46,5,14,3,24,16
63,35,8,14,9,33,16
64,40,14,10,5,26,16
65,38,4,15,9,27,16
66,38,7,17,5,24,16
67,44,5,17,3,26,16
68,39,7,13,1,31,16
69,29,12,10,6,23,16
70,39,11,20,1,19,16
71,51,6,27,7,25,16
72,34,4,16,3,24,16
73,39,8,21,9,19,16
74,44,9,18,7,17,16
75,45,6,9,2,23,16
76,42,10,17,4,26,16
77,39,8,20,10,16,16
78,36,8,22,6,23,16
79,39,5,22,6,19,16
80,40,9,15,3,26,16
81,35,7,27,5,15,16
82,32,8,17,6,15,16
83,38,11,18,8,16,16
84,44,7,14,8,18,16
85,35,7,20,5,25,16
86,38,14,31,4,20,16
87,35,7,19,7,13,16
88,35,6,13,5,19,16
89,37,5,14,6,22,16
90,49,9,19,3,30,16
91,39,5,15,6,23,16
92,41,8,23,4,27,16
93,48,5,20,5,24,16
94,40,7,23,7,26,16
95,32,11,21,7,17,16
96,36,9,22,5,22,16
97,39,10,19,8,21,16
98,43,8,21,3,24,16
99,43,8,21,9,17,16
100,31,14,10,3,20,16
101,35,4,16,7,33,16
102,37,8,23,2,28,16
103,40,12,25,2,27,16
104,41,6,14,6,31,16
105,46,11,11,4,29,16
106,43,2,29,6,18,16
107,61,5,17,8,24,16
108,50,4,18,7,29,16
109,50,9,18,10,29,16
110,36,4,14,5,27,16
111,50,10,17,6,20,16
112,43,11,11,4,19,16
113,45,10,13,6,20,16
114,48,11,17,1,26,16
115,42,14,24,6,21,16
116,34,2,15,8,25,16
117,46,8,20,5,23,16
118,47,3,14,5,23,16
119,40,9,14,2,29,16
120,39,6,16,4,27,16
121,38,11,17,6,25,16
122,50,8,14,4,25,16
123,43,8,20,4,25,16
124,35,14,23,4,26,16
125,38,10,24,6,33,16
126,53,4,20,7,24,16
127,44,11,16,6,22,16
128,43,10,16,2,25,16
129,38,5,16,5,28,16
130,35,5,14,6,25,16
131,53,10,12,8,22,16
132,40,9,19,5,24,16
133,39,6,11,3,19,16
134,44,12,19,3,27,16
135,34,12,19,2,22,16
136,45,0,19,3,25,16
137,40,5,19,6,16,16
138,42,9,13,8,27,16
139,43,5,12,8,35,16
140,38,4,24,2,27,16
141,36,13,17,3,22,16
142,33,7,16,2,24,16
143,40,10,20,3,26,16
144,53,6,20,12,29,16
145,43,6,16,11,21,16
146,36,9,13,7,27,16
147,37,6,17,8,23,16
148,38,5,16,7,26,16
149,40,7,11,9,34,16
150,35,11,19,11,21,16
151,50,7,21,9,26,16
152,38,3,24,9,21,16
153,41,5,22,7,24,16
154,42,6,17,5,34,16
155,44,8,18,5,24,16
156,48,6,18,2,27,16
157,43,12,19,4,29,16
158,35,11,13,3,25,16
159,43,13,23,5,21,16
160,40,7,19,8,21,16
161,41,13,14,10,20,16
162,36,7,16,6,23,16
163,37,5,18,4,21,16
164,32,8,24,5,32,16
165,37,14,18,6,21,16
166,33,9,23,6,16,16
167,33,6,23,3,28,16
168,46,9,15,3,15,16
169,38,5,23,5,31,16
170,46,14,17,5,24,16
171,39,9,21,3,27,16
172,44,8,18,4,31,16
173,39,7,23,6,18,16
174,40,9,20,5,28,16
175,40,7,17,4,38,16
176,55,9,22,4,29,16
177,44,6,20,4,24,16
178,40,10,14,7,31,16
179,40,7,18,6,23,16
180,31,10,16,7,28,16
181,37,7,11,6,32,16
182,44,9,13,6,30,16
183,49,12,18,9,25,16
184,42,9,18,2,28,16
185,37,6,11,3,28,16
186,32,9,18,3,15,16
187,21,6,14,9,24,16
188,43,5,14,6,29,16
189,44,9,14,7,27,16
190,54,6,16,5,28,16
191,34,5,13,11,21,16
192,27,7,16,8,25,16
193,44,3,13,1,31,16
194,41,1,20,4,35,16
195,38,9,17,6,25,16
196,31,8,15,13,28,16
197,49,9,16,4,22,16
198,44,5,17,8,20,16
199,26,5,20,3,22,16
200,38,7,13,5,27,16
201,41,4,18,10,12,16
202,48,12,19,7,23,16
203,33,11,19,6,25,16
204,35,7,10,6,32,16
205,33,7,10,5,20,16
206,36,12,16,7,16,16
207,39,6,11,4,30,16
208,38,7,24,5,19,16
209,41,10,20,4,26,16
210,39,9,22,11,24,16
211,39,11,15,7,28,16
212,34,6,30,6,23,16
213,40,10,19,9,26,16
214,44,9,16,6,35,16
215,33,6,15,7,22,16
216,44,6,16,6,21,16
217,37,6,21,6,33,16
218,31,10,20,6,26,16
219,47,6,23,7,21,16
220,36,9,14,3,21,16
221,30,10,15,7,22,16
222,34,7,20,8,27,16
223,37,11,11,10,24,16
224,40,9,24,5,17,16
225,40,9,14,6,20,16
226,33,6,12,2,23,16
227,38,4,19,4,23,16
228,39,14,10,8,27,16
229,50,10,16,10,25,16
230,41,9,18,9,30,16
231,38,7,19,4,25,16
232,43,6,9,10,20,16
233,48,12,16,4,31,16
234,35,9,20,3,31,16
235,54,5,10,7,17,16
236,44,3,16,7,18,16
237,42,5,27,6,25,16
238,38,12,24,2,30,16
239,46,11,20,5,28,16
240,49,5,17,4,27,16
241,41,5,20,5,23,16
242,38,9,16,3,33,16
243,56,10,20,5,34,16
244,40,7,17,6,24,16
245,49,12,8,6,21,16
246,44,5,23,3,33,16
247,46,3,23,3,29,16
248,46,7,9,5,31,16
249,33,4,24,6,26,16
250,40,6,18,5,29,16
251,33,9,15,4,20,16
252,45,7,11,4,30,16
253,51,7,15,8,33,16
254,29,5,20,3,19,16
255,58,4,18,12,24,16
256,37,11,29,7,30,16
257,37,7,18,3,29,16
258,45,12,18,5,23,16
259,45,7,17,6,22,16
260,39,10,17,4,28,16
261,40,3,23,7,18,16
262,39,12,21,4,26,16
263,36,10,14,7,19,16
264,41,10,14,10,21,16
265,43,12,11,7,24,16
266,52,7,18,3,25,16
267,36,9,27,5,25,16
268,38,6,18,1,23,16
269,39,11,18,10,26,16
270,40,10,20,5,25,16
271,50,7,23,11,34,16
272,41,8,19,7,22,16
273,41,8,19,5,13,16
274,37,7,26,6,26,16
275,51,6,25,7,19,16
276,33,8,17,8,23,16
277,36,9,24,3,28,16
278,41,9,17,7,17,16
279,39,9,26,5,26,16
280,39,7,22,4,32,16
281,27,10,15,5,25,16
282,49,12,26,5,29,16
283,45,9,16,6,17,16
284,39,12,19,9,34,16
285,37,6,16,3,24,16
286,28,8,12,5,25,16
287,32,5,11,5,26,16
288,41,11,16,10,27,16
289,53,9,22,8,16,16
290,36,8,26,4,23,16
291,39,8,14,7,30,16
292,45,11,17,2,19,16
293,54,6,21,9,17,16
294,41,6,19,5,36,16
295,40,9,16,6,27,16
296,37,3,18,2,29,16
297,36,6,15,5,20,16
298,43,9,12,1,22,16
299,43,7,14,7,20,16
300,45,5,12,5,23,16
301,40,5,14,7,23,16
302,45,4,13,8,35,16
303,45,4,13,7,26,16
304,41,9,20,3,22,16
305,51,8,17,5,34,16
306,36,4,20,6,28,16
307,38,7,14,13,23,16
308,45,9,22,2,17,16
309,39,9,15,6,35,16
310,44,5,8,6,26,16
311,47,6,14,6,19,16
312,40,7,16,5,26,16
313,44,6,20,8,25,16
314,40,7,15,7,36,16
315,49,14,16,8,24,16
316,42,7,13,5,18,16
317,51,10,25,9,17,16
318,31,7,24,7,23,16
319,50,2,19,6,21,16
320,45,8,12,11,23,16
321,37,10,21,2,34,16
322,41,14,23,4,25,16
323,43,17,13,5,25,16
324,38,13,12,1,20,16
325,44,10,13,5,23,16
326,44,7,25,16,34,16
327,30,10,15,6,24,16
328,36,7,26,3,26,16
329,38,6,13,7,14,16
330,47,7,20,4,25,16
331,53,10,15,5,15,16
332,47,8,23,6,25,16
333,33,13,13,9,33,16
334,46,9,14,8,31,16
335,38,6,21,7,31,16
336,40,8,14,6,33,16
337,35,8,15,8,35,16
338,36,7,23,9,22,16
339,47,8,19,7,19,16
340,37,2,14,5,26,16
341,30,6,16,6,30,16
342,39,13,12,8,26,16
343,36,10,13,8,25,16
344,43,13,18,2,22,16
345,41,12,16,5,21,16
346,49,6,8,3,20,16
347,35,9,30,9,25,16
348,35,11,26,6,21,16
349,32,9,18,6,23,16
350,34,4,12,8,25,16
351,43,8,15,3,26,16
352,46,6,29,3,18,16
353,34,7,10,8,22,16
354,31,9,18,7,27,16
355,35,7,26,9,34,16
356,42,5,22,3,31,16
357,33,8,19,5,22,16
358,55,9,21,9,25,16
359,33,6,21,5,24,16
360,52,5,8,11,29,16
361,38,4,21,4,22,16
362,29,4,16,4,28,16
363,37,9,16,5,22,16
364,41,5,26,6,24,16
365,51,14,19,9,22,16
366,32,3,18,7,28,16
367,34,6,18,6,18,16
368,29,10,14,7,19,16
369,50,12,20,5,26,16
370,44,6,30,2,26,16
371,42,8,16,5,33,16
372,26,7,17,10,21,16
373,44,4,9,2,25,16
374,37,12,24,7,29,16
375,37,7,14,4,17,16
376,50,11,21,5,33,16
377,37,9,23,6,28,16
378,41,13,12,6,18,16
379,47,4,16,4,27,16
380,46,14,19,2,28,16
381,40,5,25,5,22,16
382,38,7,22,4,21,16
383,41,10,11,4,35,16
384,54,2,9,7,17,16
385,31,8,16,6,27,16
386,35,7,9,2,22,16
387,33,9,15,6,27,16
388,42,8,27,4,22,16
389,41,6,20,11,26,16
390,39,6,17,5,21,16
391,36,10,16,6,25,16
392,41,10,21,7,24,16
393,37,7,22,5,24,16
394,42,9,17,6,25,16
395,35,7,14,9,29,16
396,45,15,20,7,23,16
397,44,5,16,4,26,16
398,40,9,15,9,21,16
399,34,2,21,2,24,16
400,44,7,21,8,20,16
401,37,12,21,8,23,16
402,38,7,15,10,24,16
