StudentID,Age,Gender,SocioeconomicStatus,ParentalEducation,LanguageBackground,PriorGPA
1,24,Male,Medium,Masters_Plus,ESL,3.4851738963214736
2,21,Female,High,Secondary,Native,2.708853941643596
3,30,Male,Medium,Bachelors,Native,2.353983998021133
4,28,Female,Medium,Secondary,ESL,2.5500522095583533
5,25,Male,Medium,Bachelors,Bilingual,3.6585270715138574
6,30,Female,Medium,Secondary,ESL,2.758275864707193
7,22,Female,Low,Masters_Plus,Native,4.0
8,24,Female,Medium,Bachelors,Native,2.3994594996783807
9,27,Female,High,Secondary,Native,2.496317046368791
10,20,Female,Medium,Below_Secondary,Bilingual,1.9567980885026213
11,24,Female,Medium,Secondary,Bilingual,3.443433275396428
12,28,Male,Medium,Bachelors,Native,2.8565410470363912
13,28,Female,Low,Secondary,Native,2.259867685690505
14,25,Male,Medium,Secondary,Native,2.5848240009744066
15,22,Female,Medium,Bachelors,Bilingual,3.0912748839452315
16,21,Male,High,Secondary,Native,2.303908969328619
17,25,Male,Low,Secondary,Native,3.005360231945712
18,25,Female,Medium,Secondary,Native,3.339682757301414
19,20,Male,Medium,Bachelors,Native,2.5398713878405803
20,23,Male,High,Masters_Plus,ESL,1.6830742773698557
21,22,Female,Low,Secondary,Bilingual,2.637738211764889
22,19,Female,Low,Bachelors,Bilingual,2.49769140246533
23,25,Female,Low,Below_Secondary,Bilingual,2.0527717043888813
24,29,Male,High,Secondary,Native,3.152061143656639
25,23,Female,Low,Bachelors,Bilingual,3.1753974420016204
26,19,Male,Low,Secondary,ESL,2.9309235838166736
27,29,Female,Low,Bachelors,Bilingual,2.5399088303360657
28,22,Female,Medium,Masters_Plus,Native,2.8810728915015504
29,18,Female,Low,Masters_Plus,Bilingual,2.409945578731926
30,29,Male,Medium,Below_Secondary,ESL,3.210851604751523
31,27,Male,Medium,Secondary,Native,2.5374482846828035
32,23,Male,Medium,Masters_Plus,Native,2.6487414739667146
33,30,Male,Medium,Secondary,ESL,2.6987179266211285
34,29,Male,Medium,Bachelors,ESL,4.0
35,26,Female,High,Secondary,Native,2.1882016750289486
36,18,Male,High,Secondary,Native,2.5177374918456383
37,28,Female,Medium,Secondary,Native,1.8387044451644452
38,28,Male,Medium,Masters_Plus,Native,2.95251314739244
39,27,Female,Medium,Masters_Plus,ESL,3.838690348518684
40,29,Female,High,Secondary,Native,2.662557614059898
41,29,Male,Medium,Bachelors,Native,2.414659903574762
42,20,Male,Medium,Secondary,ESL,2.763524115718825
43,29,Female,Medium,Below_Secondary,Native,3.420830046414913
44,24,Male,High,Bachelors,Bilingual,3.62887382276436
45,21,Female,Low,Bachelors,Native,2.1717440995017707
46,26,Female,Low,Secondary,Bilingual,3.194903422912486
47,20,Female,Medium,Secondary,ESL,2.739025468147422
48,22,Male,Low,Masters_Plus,Native,3.665507648656371
49,20,Female,Medium,Masters_Plus,Bilingual,4.0
50,24,Female,Low,Bachelors,ESL,3.892350344106047
51,22,Female,Medium,Below_Secondary,ESL,2.2082519676572643
52,26,Male,High,Bachelors,Native,2.2951016782961604
53,24,Female,Medium,Secondary,Native,3.8166585561407342
54,19,Female,Medium,Masters_Plus,Native,2.7376237841865247
55,21,Female,Low,Below_Secondary,Native,2.3383423860201695
56,26,Male,Low,Secondary,Native,1.9823909468463499
57,29,Female,High,Secondary,Native,2.8838183977702037
58,19,Male,Medium,Bachelors,Bilingual,2.5527986041696464
59,27,Female,Medium,Bachelors,Native,3.0341984223000793
60,26,Female,High,Secondary,ESL,2.914110055332968
61,27,Female,High,Bachelors,Bilingual,2.0706355859359107
62,22,Female,High,Bachelors,Native,2.3094980200634696
63,19,Male,Medium,Below_Secondary,Native,3.366779061468889
64,21,Non-binary,Low,Bachelors,Bilingual,3.4196351344014873
65,29,Male,Medium,Masters_Plus,Native,2.5771396248220513
66,29,Female,Medium,Below_Secondary,Native,2.905629812351367
67,24,Female,Low,Below_Secondary,ESL,2.17555478536309
68,29,Female,Medium,Secondary,Native,2.767791001748069
69,30,Male,Low,Below_Secondary,ESL,3.4632008137185553
70,25,Female,Medium,Secondary,ESL,3.800983398195001
71,20,Female,Medium,Bachelors,Native,2.724628023594319
72,18,Male,Medium,Bachelors,Bilingual,2.6114816332258854
73,21,Female,Medium,Secondary,Native,1.938131358538438
74,19,Male,High,Bachelors,ESL,2.440917212327314
75,25,Male,Medium,Bachelors,Bilingual,2.758908830754874
76,21,Male,Medium,Masters_Plus,Native,2.695370428922436
77,19,Male,High,Below_Secondary,Native,2.4595046051349305
78,23,Female,Medium,Bachelors,Native,3.5122509272671683
79,23,Male,High,Masters_Plus,Native,3.048407427870752
80,27,Male,Low,Bachelors,ESL,2.700676959548395
81,21,Male,Medium,Secondary,Native,3.2102006704835
82,23,Female,Low,Secondary,Native,2.7843968452012735
83,30,Female,Medium,Masters_Plus,Native,3.731427139485099
84,19,Male,High,Secondary,Native,2.323057462901242
85,27,Male,Low,Masters_Plus,Bilingual,2.9969299231327
86,29,Female,Medium,Bachelors,Native,1.524651460085043
87,19,Male,Medium,Secondary,Bilingual,2.5649723505298403
88,27,Female,Medium,Bachelors,Bilingual,2.8911391043709225
89,21,Male,Medium,Below_Secondary,Native,2.607353004750906
90,25,Female,Medium,Secondary,Native,2.136867036617898
91,24,Male,Low,Bachelors,Native,2.3834414812667895
